 virtual                     shared   shared  private  private
    size      RSS      PSS    clean    dirty    clean    dirty    # object
-------- -------- -------- -------- -------- -------- -------- ---- ------------------------------
     200      140       76      128        0       12        0    2 /data/app/com.sample.memoryleak-1/base.apk
      72       68       68        0        0       64        4    2 /data/app/com.sample.memoryleak-1/oat/arm64/base.odex
   10856    10804     2169     2480     6708        0     1616    2 /data/dalvik-cache/arm64/system@framework@boot.art
   30036     9116      821     9092        4       20        0    3 /data/dalvik-cache/arm64/system@framework@boot.oat
      84       12        1        8        4        0        0    2 /data/dalvik-cache/arm64/system@plugin@FwkPlugin@FwkPlugin.apk@classes.dex
      28       20       20        0        0       16        4    2 /data/data/com.sample.memoryleak/cache/slice-com.android.support-animated-vector-drawable-23.4.0_a1419bb25ac702208daf2c9f2577aa
     552       48       48        0        0       44        4    2 /data/data/com.sample.memoryleak/cache/slice-com.android.support-appcompat-v7-23.4.0_e00d3aac84c03d719033f6f85b21c8fa64910ed0-c
     956       56       56        0        0       52        4    2 /data/data/com.sample.memoryleak/cache/slice-com.android.support-support-v4-23.4.0_b53284d5da0115d4ad98f008396b13c918d0b819-cla
      60       20       20        0        0       16        4    2 /data/data/com.sample.memoryleak/cache/slice-com.android.support-support-vector-drawable-23.4.0_815c5cdc2118812a1b9f98bd80bbce7
     276       36       36        0        0       32        4    2 /data/data/com.sample.memoryleak/cache/slice-internal_impl-23.4.0_2449d327a7dc8d4b5f47bd7fa9e06f4e8f523751-classes.dex
      12       12       12        0        0        8        4    2 /data/data/com.sample.memoryleak/cache/slice-slice_0-classes.dex
      12       12       12        0        0        8        4    2 /data/data/com.sample.memoryleak/cache/slice-slice_1-classes.dex
      84       36       36        0        0       32        4    2 /data/data/com.sample.memoryleak/cache/slice-slice_2-classes.dex
      12       12       12        0        0        8        4    2 /data/data/com.sample.memoryleak/cache/slice-slice_3-classes.dex
      12       12       12        0        0        8        4    2 /data/data/com.sample.memoryleak/cache/slice-slice_4-classes.dex
     120      100      100        0        0       96        4    2 /data/data/com.sample.memoryleak/cache/slice-slice_5-classes.dex
      12       12       12        0        0        8        4    2 /data/data/com.sample.memoryleak/cache/slice-slice_6-classes.dex
